回答日時,Q1,Q2-1,Q2-2,Q2-3,Q2-4,Q2-5,Q2-6,Q2-7,Q3-1,Q3-2,Q3-3,Q3-4,Q3-5,Q3-6,Q3-7,Q4-1,Q4-2,Q4-3,Q4-4,Q4-5,Q4-6,Q5-1,Q5-2,Q5-3,Q5-4,Q5-5,Q6,Q7-1,Q7-2,Q7-3,Q7-4,Q7-5,Q7-6,Q7-7,Q8-1,Q8-2,Q8-3,Q8-4,Q8-5,Q8-6,Q9-1,Q9-2,Q9-3,Q9-4,Q9-5,Q9-6,Q9-7,Q9-8,Q9-9,Q9-10,Q9-11,Q9-12,Q9-13,Q9-14,Q9-15,Q9-16,Q9-17,Q9-18,Q9-19,Q9-20,Q10-1,Q10-2,Q10-3,Q10-4,Q10-5,Q10-6,Q10-7,Q10-8,Q10-9,Q10-10,Q10-11,Q10-12,Q10-13,Q10-14,Q10-15,Q10-16,Q10-17,Q10-18,Q10-19,Q10-20,Q11
2014-11-03 23:09:07,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.3; Win64; x64; Firefox/31.0)
【使用スキン】(Default)
【関連アドオン】
FoxAge2ch 3.3.10
LogSearch2ch 1.1.3
ContextMenu2ch 3.5

【変更した設定値】
appoint_data_dir: true
board.auto_update: true
board.thread_view_limit: 0
browser.redirector.enabled: true
browser.toolbarbutton.installed: true
browser.toolbarbutton.show_only_on_bbs: true
contextmenu.enabled: false
data_dir: (masked)
post.auto_finish: true
releasenotes_showed: 1.7.1
thread_get_log_from_mimizun: true
thread_hide_abone: true",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,右クリックで呼び出した時にそのカーソル位置にあればどこでもよいです。,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,便利なソフトを公開していただきありがとうございます!
2014-11-03 23:14:12,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.5pre; Linux x86_64; Firefox/33.0)
【使用スキン】(Default)
【関連アドオン】
2ch  (無効)

【変更した設定値】
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
bbsmenu.tree_size: medium
board.auto_update: true
board.open_single_click: false
board.thread_view_limit: 10
board.tree_size: medium
contextmenu.abone.enabled: false
contextmenu.change-limit-all.enabled: false
contextmenu.change-limit-l50.enabled: false
contextmenu.copy.enabled: false
contextmenu.find-next-thread.enabled: false
contextmenu.history.enabled: false
contextmenu.open-settings.enabled: false
contextmenu.search.enabled: false
contextmenu.skin.enabled: false
contextmenu.toggle-sidebar.enabled: false
post.auto_finish: true
post.warn_p2: true
post.write_log.failed: true
post.write_log.succeeded: true
releasenotes_showed: 1.7.5pre
thread_font_name: VL Pゴシック
warn_when_delete_log: false

【不具合の内容・再現手順】",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"chaika および掲示板上だけでのみ表示するにしているが、
chaika 以外のコンテキストメニュー項目をほぼ使わないため一番上が良いかと",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,いつも更新お疲れ様です
2014-11-03 23:20:24,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 5.1; Firefox/31.2.0)
【使用スキン】gray_2.7.2
【関連アドオン】
FoxAge2ch ex 3.3.10.049

【変更した設定値】
appoint_data_dir: true
bbsmenu.toggle_open_container: true
bbsmenu.tree_size: medium
board.thread_view_limit: 100
board.tree_size: big
browser.browsermenu.reload_when_skin_changed: true
browser.browsermenu.remove_limit_when_copy: true
browser.redirector.enabled: true
browser.toolbarbutton.installed: true
contextmenu.enabled: false
data_dir: (masked)
post.auto_finish: true
post.warn_be: false
releasenotes_showed: 1.7.1
thread_aa_font_name: MeiryoAA
thread_chain_abone: true
thread_skin: gray_2.7.2

【不具合の内容・再現手順】",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,もし使いにくいと思ったら自分でどうにかするのでこのままでいいです,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,便利に使わせてもらってます。どうもありがとう。
2014-11-03 23:21:09,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.0; Firefox/33.0.2)
【使用スキン】(Default)
【関連アドオン】
FoxAge2ch 3.3.10

【変更した設定値】
bbsmenu.open_new_tab: true
board.auto_update: true
board.open_new_tab: true
board.tree_size: medium
browser.toolbarbutton.installed: true
browser.toolbarbutton.show_only_on_bbs: true
contextmenu.abone.enabled: false
contextmenu.change-limit-all.enabled: false
contextmenu.change-limit-l50.enabled: false
contextmenu.copy.enabled: false
contextmenu.flattened: true
contextmenu.history.enabled: false
contextmenu.open-link-in-browser.enabled: false
contextmenu.open-settings.enabled: false
contextmenu.register-selection-as-aa.enabled: false
contextmenu.search.enabled: false
contextmenu.skin.enabled: false
contextmenu.toggle-sidebar.enabled: false
contextmenu.view-in-browser.enabled: false
contextmenu.view-in-chaika.enabled: false
post.auto_finish: true
post.warn_when_close: false
releasenotes_showed: 1.7.1
tab_load_in_foreground: true
thread_font_size: 18
thread_get_log_from_mimizun: true
warn_when_delete_log: false",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,このままでよい,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ありがとうございます。
2014-11-03 23:33:59,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.0; Windows NT 6.1; Win64; x64; Cyberfox/33.0.2)
【使用スキン】LeanNotes-1.0.7
【関連アドオン】
FoxAge2ch 3.3.10
bbs2chreader ex 0.4.19.014 (無効)

【変更した設定値】
bbsmenu.tree_size: medium
board.thread_view_limit: 0
board.tree_size: medium
browser.redirector.enabled: true
browser.redirector.throw_bookmarks: true
data_dir: (masked)
http_proxy_mode: 1
releasenotes_showed: 1.7.0
thread_chain_abone: true
thread_get_log_from_mimizun: true
thread_show_be_icon: true
thread_skin: LeanNotes-1.0.7

【不具合の内容・再現手順】",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,このままでよい,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,大量のアンカーが貼られているレスを簡単にあぼーんできるようになるとありがたいです。
2014-11-03 23:37:32,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】gray
【関連アドオン】
FoxAge2ch 3.3.10

【変更した設定値】
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
board.auto_update: true
board.open_new_tab: true
browser.browsermenu.find_2ch_in_sidebar: true
browser.toolbarbutton.installed: true
browser.toolbarbutton.show_only_on_bbs: true
post.auto_finish: true
post.warn_p2: true
releasenotes_showed: 1.7.5pre
thread_aa_font_name: MS Pゴシック
thread_font_name: 游ゴシック
thread_font_size: 18
thread_get_log_from_mimizun: true
thread_skin: gray",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"どう変化したのか分からないが
chaika閲覧中に右クリックしたメニューの事と仮定して
chaika閲覧中のみ出てくるメニューなので
「名前をつけてページを保存」の上
というよりは最上部の4つのアイコンの直下",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"4月以降に増えた開発版常用者はjim暴走事件でp2遮断されてchaikaに移行した人かもなので毛色が違うのかもね
設問7:特に削除する必要を感じない
連続書き込み時のsamba値タイマーが欲しいくらい
Userchrome.cssで対処するのがFirefoxらしいと思う"
2014-11-03 23:50:14,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; Firefox/33.0)
【使用スキン】(Default)
【関連アドオン】
(なし)

【変更した設定値】
bbsmenu.open_new_tab: true
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
bbsmenu.toggle_open_container: true
bbsmenu.tree_size: medium
board.auto_update: true
board.open_new_tab: true
board.thread_view_limit: 0
board.tree_size: medium
browser.browsermenu.disregard_url_limit: true
browser.browsermenu.open_in_new_tab: true
browser.browsermenu.remove_limit_when_copy: true
browser.redirector.enabled: true
contextmenu.enabled: false
contextmenu.search.enabled: false
contextmenu.show-l50.enabled: false
contextmenu.skin.enabled: false
contextmenu.toggle-sidebar.enabled: false
historymenu.board_max: 20
historymenu.thread_max: 20
post.auto_be_disable: true
post.auto_finish: true
releasenotes_showed: 1.7.1
tab_load_in_foreground: true
thread_hide_abone: true
thread_show_be_icon: true
warn_when_delete_log: false",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,"Chaikaのコンテキストメニューはほぼ使っていない。
なのでスレッド表示のスレタイ部分、右上のMENU部分に機能を移動させていいのではないか?あぼーんや次スレ検索など。

アイコンの下三角で出てくる項目と、スレタイ右横のMENUと重複してる項目はMENU部分だけに残したほうがいいのではないか?",0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,サイドバーの板一覧、カテゴリ部分に、履歴にあるような、最近アクセスした板、アクセス回数の多い板を5件程度、表示できないか?iPhoneアプリのBB2Cの板一覧ような感じで。履歴表示が板一覧と統合するのがややこしければ、サイドバーの検索窓の上部に独立して履歴表示があってもいいと思うが。
2014-11-03 23:52:18,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.5pre; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】gray_2.7.2
【関連アドオン】
FoxAge2ch 3.3.10

【変更した設定値】
appoint_data_dir: true
bbsmenu.open_new_tab: true
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
board.auto_update: true
board.open_new_tab: true
browser.browsermenu.disregard_url_limit: true
browser.browsermenu.open_in_new_tab: true
browser.browsermenu.reload_when_skin_changed: true
browser.browsermenu.remove_limit_when_copy: true
browser.redirector.throw_bookmarks: true
browser.toolbarbutton.installed: true
data_dir: (masked)
post.auto_finish: true
post.warn_mistaken_posting: false
post.warn_p2: true
post.write_log.failed: true
post.write_log.succeeded: true
releasenotes_showed: 1.7.5pre
thread_fix_invalid_anchor: true
thread_font_name: IPA Pゴシック
thread_get_log_from_mimizun: true
thread_skin: gray_2.7.2",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,マウスの移動距離が少ない先頭位置、ContextMenu2chの上が望ましいと思うけど、常に表示する設定ならちょっとうざいかも。今の位置でも別に構わないです。,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"サイドバーの使い方ですがAll-in-One Sidebarを入れ、
通常はFoxAge2chかSage++を開いています。
切り替えはサイドバー上部のボタンメメニューかツールバーに置いた
サイドバーボタンもしくはキーボードショートカットで切り替えています。
chaikaはFoxAge2chのツールメニューから行くこともあリます。"
2014-11-03 23:56:38,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.0; Windows NT 6.1; Firefox/24.7.0)
【使用スキン】gray_2.6.2
【関連アドオン】
FoxAge2ch ex 3.3.10.049
ContextMenu2ch 3.5

【変更した設定値】
bbsmenu.open_single_click: false
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
board.auto_update: true
board.open_single_click: false
browser.browsermenu.confirm_add_abone: false
browser.browsermenu.disregard_url_limit: true
browser.browsermenu.find_2ch_in_sidebar: true
browser.browsermenu.remove_limit_when_copy: true
browser.toolbarbutton.installed: true
post.auto_finish: true
post.emphasize_warnings: true
post.warn_when_close: false
refController.enabled: false
releasenotes_showed: 1.7.0
thread_aa_font_name: MS Pゴシック
thread_font_name: MeiryoKe_UIGothic
thread_hide_abone: true
thread_skin: gray_2.6.2

【不具合の内容・再現手順】",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,"このまま。
特にこだわりはない。",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"あえて選択肢にないのだろうけど「どちらでもよい。」が欲しい(要望)。

【設問3】サイドバーの利用状況
普段は別のサイドバーを開いているのでよく切り替える

多分foxage2chを併用してるユーザーは切り替えを多用していると思います。
スレッドの検索時に開くわけですが、今の状態はちょっと不便です。


【設問5】サイドバーの開閉状態表示
【回答したくない】

正確にはどちらでもよいし、特に気にしない。
メニューアイコンは状態表示しない方がいい(見栄え的な意味で)。
Firefox標準のブックマークや履歴のサイドバーアイコンは状態表示してるのでもしもサイドバーアイコンが復活するならばそちらは状態表示した方がいいかも(見栄え的な意味で)。

ついでにサイドバーアイコンのデザインはカモメじゃなく前の「2」の方が好き。
もちろんfoxage2chのアイコンと並べた時の見栄えがよろしいからですが。


【設問7】書き込みウィザードのデザイン
「書き込みウィザード」の文字

むしろ「書き込みウィザード」と「マターリ」の白枠部分まるごとカットでいいのではないだろうか。


【設問8】outside.xml
その他(下の「備考」にご記入下さい)

反対というわけではないが、外部版を追加する際素人には困難な仕様になるとちょっと困る。



最後に
コンテキストメニューに必死チェッカー追加駄目ですかね(小声)。"
2014-11-04 00:00:33,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】smorgas-lego-ex-20120605
【関連アドオン】
FoxAge2ch 3.3.10

【不具合の内容・再現手順】
【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】smorgas-lego-ex-20120605
【関連アドオン】
FoxAge2ch 3.3.10

【変更した設定値】
bbsmenu.bbsmenu_html_url: http://menu.70.kg/bbsmenu.html
bbsmenu.open_new_tab: true
bbsmenu.search.default_engine_name: 01.ff2ch.syoboi.jp
board.auto_update: true
board.tree_size: medium
browser.redirector.enabled: true
contextmenu.register-selection-as-aa.enabled: false
contextmenu.toggle-sidebar.enabled: false
releasenotes_showed: 1.7.1
thread_get_log_from_bg20: true
thread_get_log_from_mimizun: true
thread_get_log_from_offlaw2: true
thread_get_log_from_viprpg: true
thread_show_be_icon: true
thread_skin: smorgas-lego-ex-20120605",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,このままでよい,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2014-11-04 00:04:07,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.0; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】smorgas-lego-ex-20120605
【関連アドオン】
FoxAge2ch 3.3.10

【変更した設定値】
bbsmenu.open_new_tab: true
bbsmenu.open_single_click: false
board.auto_update: true
board.open_new_tab: true
board.open_single_click: false
browser.redirector.enabled: true
maru_auto_auth: false
maru_enabled: true
maru_id:
maru_last_auth_time: 
maru_session_id: (masked)
post.auto_be_disable: true
post.auto_finish: true
refController.enabled: false
releasenotes_showed: 1.7.0
tab_load_in_foreground: true
thread_font_name: MS Pゴシック
thread_get_log_from_bg20: true
thread_get_log_from_mimizun: true
thread_get_log_from_offlaw2: true
thread_get_log_from_unkar: true
thread_show_be_icon: true
thread_skin: smorgas-lego-ex-20120605

【不具合の内容・再現手順】",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,このままでよい,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,">アイコンを変化させることで通知したほうがよい ※具体的にどのような変化をするべきか「備考」にご記入下さい

アイコンが押されたままの状態にする"
2014-11-04 00:09:03,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; WOW64; Firefox/35.0a2)
【使用スキン】gray_2.7.2
【関連アドオン】
FoxAge2ch 3.3.10
chaika, FoxAge2ch  (無効)
chaika 書き込みウィザード 
FoxAge2ch ボタン 

【変更した設定値】
abonemanager.id_expire_days: 5
appoint_data_dir: true
bbsmenu.bbsmenu_html_url: http://kita.jikkyo.org/cbm/cbm.cgi/20.p0.m0/-all/bbsmenu.html
board.auto_update: true
board.thread_view_limit: 0
browser.browsermenu.confirm_add_abone: false
browser.browsermenu.open_in_new_tab: true
browser.browsermenu.remove_limit_when_copy: true
browser.redirector.enabled: true
enable_browser_contextmenu: false
post.warn_p2: true
releasenotes_showed: 1.7.1
thread_aa_font_name: IPA モナー Pゴシック
thread_chain_abone: true
thread_get_log_from_mimizun: true
thread_skin: gray_2.7.2",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,今のままでいい(ほかのアドオンのメニューと同じように「要素を調査」より下の位置にあるべき),0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"あぼーんマネージャのNGExについて2つ要望します。
・条件の入力ボックス(「を含む」の左隣の欄)が狭すぎるので広くしてほしい。「Aa」の右隣の+-ボタンの幅を狭めたり、ウィンドウの横幅を広げたときに(ラベル欄が広がるのと同じように)条件の入力ボックスの横幅も合わせて広げてほしい。
・ウィンドウの高さを広げたとき、登録済みのNGリストの高さも合わせて広げてほしい。"
2014-11-04 00:17:29,"【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.1; WOW64; Firefox/33.0.2)
【使用スキン】BowⅣ
【関連アドオン】
2ch URL Modify 0.3
Chaika 表示中のログを削除 undefined

【変更した設定値】
aa.confirm_before_save: true
aa.create_and_save: false
abone.show_context_only_2ch: false
appoint_data_dir: true
bbsmenu.open_new_tab: true
bbsmenu.open_single_click: false
bbsmenu.toggle_open_container: true
board.auto_update: true
board.open_new_tab: true
board.open_single_click: false
board.tree_size: medium
browser.browsermenu.confirm_add_abone: false
browser_contextmenu_confirm_add_abone: false
browser_toolbarbutton_only_bbs: false
contextmenu.change-limit-l50.enabled: false
contextmenu.find-next-thread.enabled: false
contextmenu.go-to-board.enabled: false
contextmenu.history.enabled: false
contextmenu.open-board.enabled: false
contextmenu.open-in-browser.enabled: false
contextmenu.open-in-chaika.enabled: false
contextmenu.open-link-in-browser.enabled: false
contextmenu.open-link-in-chaika.enabled: false
contextmenu.search.enabled: false
contextmenu.show-all.enabled: false
contextmenu.show-l50.enabled: false
contextmenu.skin.enabled: false
contextmenu.toggle-sidebar.enabled: false
contextmenu.write.enabled: false
data_dir: (masked)
enable_browser_toolbarbutton: false
historymenu.board_max: 0
historymenu.thread_max: 0
post.auto_finish: true
releasenotes_showed: 1.7.1
thread_aa_font_name: KGHC-AA
thread_aa_line_space: 0
thread_font_name: KGHC-AA
thread_get_log_from_mimizun: true
thread_hide_abone: true
thread_skin: BowⅣ",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,このままでよい,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ツールバーボタン
左クリックで開く、右クリックでメニューがいいかな
ステータスバーや縦置きツールバーに置く事を考えてボタンサイズは小さい方がいい

書き込みウィザードのデザイン
コンパクトにするのは賛成だが
すでにcssで改造してコンパクトにしてる人の為に
今のスタイルで数値を変えて幅、高さ、色等を変えた方が影響が少ないのではないか

表示部分を広くする為にツールバーやタブの高さを低くする改造をしているユーザーが
いますのでボタンの大きさが少し大きくなっただけでも全体の使い勝手が変わってしまいます"
2014-11-04 00:23:24,【ユーザーエージェント】Monazilla/1.00 (chaika/1.7.1; Windows NT 6.3; WOW64; Firefox/35.0a2),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,マウスジェスチャで済ませているので、コンテキストメニューは不要,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"設問4:サイドバーの開閉もメニューもマウスジェスチャで済ませているので
　　　　現在カモメは常時非表示"
